country;isf01;isf02;popTotal01;popTotal02;pop1564_01;pop1564_02;pibHbt01;pibHbt02;txchomage01;txchomage02
Algeria;7,332;4,713;25912364;36036159;53;67;2576,6;3233,2;17,98952183;10
Angola;7,185;7,165;10335052;19081912;49,65373;49,4962;3183,349;5632,146;6,66119;3,69098
Benin;6,929;6,744;4773137;8849892;50,6742;53,69899;1283,393;1641,894;23,47456;23,87681
Botswana;6,477;4,698;1382371;2006945;52,63253;63,45304;6378,209;12176,59;22,89628;18,5881
Burkina Faso;6,859;7,007;9323996;16468714;49,46384;51,22102;735,2254;1224,476;1,20145;9,31645
Burundi;7,419;7,542;5601720;8382849;49,1978;53,42969;831,8051;714,5064;-1,8622;3,72312
Cameroon;6,391;6,434;12180819;19598889;50,19281;53,34202;2197,315;2232,82;24,67429;20,23003
Cape Verde;6,771;5,307;348165;495999;49,69261;62,4156;1735,753;4229,282;32,34413;27,44727
Central African Republic;5,95;5,78;2934777;4401051;52,8132;55,57116;851,1737;778,6151;15,98591;15,57415
Chad;6,78;7,313;6011224;11227208;49,31549;48,77677;1121,846;2027,29;20,28269;19,2322
Comoros;7,054;5,573;437876;734750;50,42081;55,98422;1476,499;1232,642;42,93875;41,05435
Congo;6,325;5,347;2388902;4042899;52,60093;54,29974;3443,783;3702,016;29,07992;22,86537
Cote d'Ivoire;7,916;6,356;12517730;19737800;52,54537;53,36844;2007,21;1815,481;29,77887;30,70829
Democratic Republic of the Congo;6,366;7,133;36406226;65965795;51,41604;50,61195;692,5598;350,9354;31,80431;28,34265
Djibouti;6,784;6,087;562290;888716;52,58347;62,0752;2425,854;2723,602;73,87072;72,15371
Egypt;5,585;4,35;56843275;81121077;54,32097;63,14538;3434,403;6306,992;45,3139;48,33243
Equatorial Guinea;5,674;5,9;373887;700401;57,59521;56,97726;1727,696;31335,1;6,85617;7,55888
Ethiopia;7,143;7,246;48333261;82949541;50,55639;52,25632;578,515;1018,373;11,90518;10,9807
Gabon;5,412;5,421;929044;1505463;52,43928;56,73848;17584,08;15071,67;29,4172;31,19357
Gambia;6,293;6,107;966151;1728394;51,14402;51,12014;1759,935;2023,053;19,17707;14,96366
Ghana;6,815;5,616;14793415;24391823;53,41763;57,36886;1653,122;2663,492;28,31091;22,67022
Guinea;6,354;6,579;5759374;9981590;52,73787;53,55009;1127,989;1237,212;24,87355;23,44264
Guinea-Bissau;6,866;6,649;1016695;1515224;51,52016;55,36784;1454,726;1372,894;24,45391;22,7191
Kenya;7,84;6,037;23447177;40512682;48,32505;54,73017;1598,889;1674,637;20,31996;30,83722
Lesotho;5,761;4,919;1639177;2171318;51,82869;58,03477;1474,169;2376,496;19,72805;29,01772
Liberia;6,88;6,499;2127098;3994122;51,99324;53,58078;657,1859;540,2772;37,30761;35,77459
Madagascar;7,216;6,258;11280625;20713819;51,82686;53,74492;1193,785;994,0823;10,87576;9,42214
Malawi;7,518;6,997;9380892;14900841;51,53909;50,60725;708,4481;920,3279;19,76407;14,10187
Mali;6,966;7,062;8672868;15369809;49,52501;50,18994;756,5428;1105,05;41,90111;38,37528
Mauritania;6,681;5,978;1995548;3459773;52,30604;55,85616;2207,615;2739,568;50,06137;42,20439
Mauritius;3,255;2,32;1059548;1299172;66,30497;70,42817;6803,282;13666,05;36,84906;34,93987
Morocco;6,168;4,058;24781105;31951412;56,42813;65,88367;2905,685;4608,889;43,59861;46,98058
Mozambique;6,554;6,237;13547076;23390765;49,46256;50,83524;394,5504;908,407;3,92901;0,32345
Namibia;6,654;5,227;1414830;2283289;52,99725;58,47734;4202,139;6242,538;40,78768;30,41939
Niger;7,578;7,763;7788198;15511953;49,99407;47,51749;710,6979;720,5781;41,67353;29,67067
Nigeria;6,706;6,49;97552057;158423182;52,25488;53,34334;1364,391;2367,966;39,42519;41,62154
Rwanda;8,37;7,271;7109538;10624005;48,01739;54,88153;776,2957;1163,429;5,58025;10,33436
Sao Tome and Principe;6,535;5,395;116117;165397;47,59234;52,99099;1970,426;2678,076;35,86597;33,0999
Senegal;7,465;6,629;7241573;12433728;49,90752;53,24082;1611,089;1888,088;27,48479;24,62802
Sierra Leone;6,938;6,525;3981567;5867536;52,6836;53,94585;1499,837;1080,057;27,67492;28,57
South Africa;5,251;3,658;36793907;50132817;57,87143;64,00956;8082,997;10033,3;53,27864;42,21951
Sudan;6,936;6,153;20904578,43;34533921;51,5991;54,8045;1329,615;2696,783;54,85432;51,59783
Swaziland;6,817;5,744;862947;1186056;49,21145;57,81865;4686,487;5720,679;40,98983;46,34171
Tanzania;6,751;6,213;24798692;43588154;51,27788;51,79117;784,2518;1313,799;5,29129;5,05409
Togo;7,275;6,331;3665509;6027798;50,80122;54,45212;1294,959;1067,883;19,91824;10,44715
Tunisia;5,867;3,38;8215111;10480934;57,93541;69,19249;4890,636;9418,394;48,95783;47,47044
Uganda;7,099;7,091;17699717;33424683;49,26621;48,49939;646,0072;1363,531;12,16026;16,69989
Zambia;7,435;6,468;7860053;13088570;49,87898;50,46724;1509,612;1633,3;14,45134;20,19992
Zimbabwe;7,395;5,176;10469202;12571454;50,92551;55,25299;4927,495;3941,437;20,16755;-2,7789
