english;french;code
Algeria;Algérie;DZA
Angola;Angola;AGO
Benin;Bénin;BEN
Botswana;Botswana;BWA
Burkina Faso;Burkina Faso;BFA
Burundi;Burundi;BDI
Cameroon;Cameroun;CMR
Cape Verde;Cap-Vert;CPV
Central African Republic;Centrafrique;CAF
Chad;Tchad;TCD
Congo;Congo;COG
Cote d'Ivoire;Côte d'Ivoire;CIV
Democratic Republic of the Congo;Congo Démocratique;COD
Egypt;Egypte;EGY
Equatorial Guinea;Guinée Equatoriale;GNQ
Eritrea;Erythrée;ERI
Ethiopia;Ethiopie;ETH
Gabon;Gabon;GAB
Gambia;Gambie;GMB
Kenya;Kenya;KEN
Lesotho;Lesotho;LSO
Libya;Libye;LBY
Madagascar;Madagascar;MDG
Malawi;Malawi;MWI
Mali;Mali;MLI
Mauritania;Mauritanie;MRT
Mauritius;Ile Maurice;MUS
Morocco;Maroc;MAR
Mozambique;Mozambique;MOZ
Namibia;Namibie;NAM
Rwanda;Rwanda;RWA
Senegal;Sénégal;SEN
Sierra Leone;Sierra Leone;SLE
South Africa;Afrique du Sud;ZAF
Sudan;Soudan;SDN
Swaziland;Swaziland;SWZ
Tanzania;Tanzanie;TZA
Togo;Togo;TGO
Tunisia;Tunisie;TUN
Uganda;Ouganda;UGA
Zambia;Zambie;ZMB
