country;gni_1995;gni_2010;popTot_1995;popTot_2010;k_1995;k_2010;pop1564_1995;pop1564_2010;youth.dpce_1995;youth.dpce_2010;isf_1995;isf_2010;txdpce_age_1995;txdpce_age_2010;txdpce_real_1995;txdpce_real_2010;tbs_1995;tbs_2010
Algeria;152654477485;274712862267;28291591;35468208;5,15144975;4,467195632;56,56922228;68,36058647;70,238641;39,5652858;6,909;3,446;76,77457099;46,28312184;240,6726392;120,5289583;60,29249;95
Angola;16272212057;86835247906;12105105;19081912;4,418226424;3,51677;49,83221542;50,94759896;95,61071986;91,41038633;7,2;7,03;100,6733981;96,28010355;149,5889948;147,6688774;13,249535;31,30734
Benin;6625406350;12468361998;5651141;8849892;2,713091398;4,26573;51,33437654;53,26680823;88,68971085;82,03054483;7,025;6,364;94,801236;87,73416941;131,6683833;121,6840101;15,74390274;49,00787167
Botswana;11705757876;24822503070;1585637;2006945;5,608879442;7,61146;55,6812814;63,44942188;74,67105673;51,31793356;6,217;3,989;79,59356804;57,60584893;136,9940966;90,71787233;56,88765;82,47926963
Burkina Faso;7540835711;18705364475;10692138;16468714;2,158557444;3,37766;50,34834941;52,4472767;93,7387279;86,43963363;7,069;6,558;98,61624297;90,66766913;120,7053203;111,7973746;7,921442;20,71763
Burundi;2362371925;4406367188;6086751;8382849;4,657478682;8,72082;51,01225596;59,26685546;90,17478001;63,90397748;6,651;6,316;96,03132249;68,72837141;116,9687263;88,68176956;7,933723698;24,78757
Cameroon;21633628752;39522191139;13940337;19598889;2,455708774;3,10516;52,05563538;55,90760272;85,34193978;72,58862587;6,431;5,384;92,10216005;78,86654968;141,4779757;116,8393329;25,27411;46,75333
Cape Verde;642208065;1642632705;394946;495999;3,896672417;4,94593;50,50437275;62,29629495;88,12172562;51,04777193;6,375;4,55;98,00265711;60,52319015;166,9551207;97,61804862;31,0577698;87,52732
Central African Republic;2657179956;3097423960;3327710;4401051;1,578099832;1,14471;53,51163413;55,63982331;79,46237235;72,58423424;5,954;5,596;86,8752499;79,727386;118,5201177;108,325255;8,196838465;15,947895
Chad;5536695605;13822457108;6998108;11227208;1,55366109;2,25891;50,76234891;51,68517409;90,43228191;87,90723861;6,759;6,636;96,99640018;93,47908131;143,0625307;138,2826678;8,04546;24,63191
Congo;6938452537;11148046856;2732706;4042899;5,949603412;2,46641;53,71748736;55,74245115;79,18417702;72,81740283;6,178;5,096;86,15911675;79,39648857;136,7605028;119,9342783;49,465435;64,79327994
Cote d'Ivoire;23165013098;31769340189;14677200;19737800;4,729699644;4,32469;53,96160031;55,27750813;80,08740347;74,05512676;7,608;5,581;85,31696509;80,90540507;133,5163741;126,2174836;18,40375242;42,31961342
Democratic Republic of the Congo;13478081474;19374375462;44067369;65965795;0,94598158;2,42834;49,39123096;51,05490505;96,90178676;90,64917862;6,585;7,125;102,4650896;95,86756632;152,4778188;143,2997969;26,45944;37,71898
Egypt;217951142384;441351188203;62063810;81121077;4,403314551;4,411125573;57,10648605;63,43551134;67,95680187;49,71057667;5,366;3,659;75,11145741;57,64040974;180,9914636;129,8207382;70,02074;72,48419
Equatorial Guinea;1941905683;17733357242;442527;700401;1,920967871;1,15841;54,09364852;57,85128805;77,37437286;67,84602817;5,728;5,897;84,86458712;72,8569983;103,6197626;89,83600453;37,369414;18,64611885
