country;hypo;1950;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Algeria;high;79,1;85,2;91,4;102,7;101,5;101,3;98,9;95,1;87,7;76,5;62,9;51,6;48,5;52,7;59,1;60,0;57,2;54,7;54,6;57,8;63,3;67,9;69,2;66,4;63,1;63,4;66,7;70,3;72,6;73,5;73,2
Algeria;low;79,1;85,2;91,4;102,7;101,5;101,3;98,9;95,1;87,7;76,5;62,9;51,6;48,5;52,7;56,1;52,7;45,6;42,6;43,3;47,5;53,7;59,2;62,3;61,8;61,1;66,0;76,8;85,2;90,2;91,8;92,7
Algeria;medium;79,1;85,2;91,4;102,7;101,5;101,3;98,9;95,1;87,7;76,5;62,9;51,6;48,5;52,7;57,6;56,3;51,4;48,8;49,1;52,8;58,5;63,4;65,3;63,3;61,1;63,1;69,0;74,1;77,1;78,1;78,3
Angola;high;75,6;82,5;89,7;97,4;95,7;97,1;100,2;102,6;103,4;101,5;99,5;98,4;98,5;97,6;96,4;93,6;91,6;88,4;84,7;81,0;77,6;74,6;71,8;69,2;67,1;65,5;64,0;62,9;62,1;61,5;61,0
Angola;low;75,6;82,5;89,7;97,4;95,7;97,1;100,2;102,6;103,4;101,5;99,5;98,4;98,5;97,6;93,3;86,2;79,3;74,8;71,3;68,0;64,3;60,7;57,7;55,3;53,8;53,1;52,7;52,2;51,8;51,7;52,0
Angola;medium;75,6;82,5;89,7;97,4;95,7;97,1;100,2;102,6;103,4;101,5;99,5;98,4;98,5;97,6;94,8;89,9;85,5;81,7;78,1;74,6;71,0;67,7;64,7;62,3;60,4;59,2;58,2;57,3;56,6;56,2;56,0
Benin;high;75,5;75,9;77,2;82,6;88,4;93,1;96,2;97,7;98,2;95,5;93,8;90,8;88,9;86,1;84,0;82,3;81,0;78,3;75,0;71,9;69,6;67,9;66,3;64,7;63,1;61,8;60,7;60,0;59,5;59,1;58,5
Benin;low;75,5;75,9;77,2;82,6;88,4;93,1;96,2;97,7;98,2;95,5;93,8;90,8;88,9;86,1;81,1;75,1;68,9;64,9;61,9;59,3;56,5;53,9;52,0;50,9;50,2;50,1;50,1;49,9;49,7;49,7;50,0
Benin;medium;75,5;75,9;77,2;82,6;88,4;93,1;96,2;97,7;98,2;95,5;93,8;90,8;88,9;86,1;82,6;78,7;75,0;71,7;68,6;65,7;63,1;60,9;59,1;57,7;56,6;55,7;55,1;54,5;54,1;53,8;53,7
Botswana;high;82,6;87,4;98,6;108,3;105,3;100,3;96,5;95,4;88,9;78,0;68,3;62,3;57,5;55,1;55,4;55,5;54,4;52,2;51,0;51,7;54,4;56,6;57,8;57,9;57,4;57,3;58,2;60,0;61,9;63,4;64,3
Botswana;low;82,6;87,4;98,6;108,3;105,3;100,3;96,5;95,4;88,9;78,0;68,3;62,3;57,5;55,1;52,4;48,0;42,0;38,7;38,0;39,7;42,8;45,4;47,5;49,4;51,6;55,1;60,9;65,6;68,9;71,0;73,2
Botswana;medium;82,6;87,4;98,6;108,3;105,3;100,3;96,5;95,4;88,9;78,0;68,3;62,3;57,5;55,1;53,9;51,8;48,2;45,6;44,6;45,9;48,6;50,8;52,3;53,1;53,7;55,0;57,6;60,3;62,5;64,3;65,7
Burkina Faso;high;74,6;75,8;77,5;81,0;85,4;89,4;95,2;99,9;102,2;100,7;98,2;96,3;94,9;92,2;89,4;86,2;83,9;80,5;76,8;73,2;70,2;67,6;65,2;63,1;61,4;60,1;59,0;58,4;58,0;57,8;57,7
Burkina Faso;low;74,6;75,8;77,5;81,0;85,4;89,4;95,2;99,9;102,2;100,7;98,2;96,3;94,9;92,2;86,4;79,0;71,8;67,0;63,4;60,2;56,8;53,5;50,8;49,1;48,2;48,1;48,4;48,5;48,7;49,2;50,3
Burkina Faso;medium;74,6;75,8;77,5;81,0;85,4;89,4;95,2;99,9;102,2;100,7;98,2;96,3;94,9;92,2;87,9;82,6;77,9;73,8;70,2;66,8;63,6;60,6;58,0;56,1;54,7;53,9;53,4;53,0;52,8;52,9;53,3
Burundi;high;79,0;83,0;87,0;92,1;93,4;94,0;90,5;95,5;102,2;110,1;109,9;94,6;87,8;89,6;92,9;92,4;88,8;83,0;78,1;75,5;74,1;72,5;70,0;66,9;64,5;63,2;62,4;61,8;61,0;60,1;59,5
Burundi;low;79,0;83,0;87,0;92,1;93,4;94,0;90,5;95,5;102,2;110,1;109,9;94,6;87,8;89,6;89,9;85,1;76,9;70,3;65,8;63,4;61,2;58,6;55,8;53,1;51,4;50,9;51,0;50,8;50,5;50,2;50,6
Burundi;medium;79,0;83,0;87,0;92,1;93,4;94,0;90,5;95,5;102,2;110,1;109,9;94,6;87,8;89,6;91,4;88,7;82,9;76,7;72,0;69,6;67,7;65,6;62,9;60,0;57,9;57,0;56,5;56,0;55,4;54,8;54,5
Cameroon;high;74,7;75,4;77,2;80,6;84,6;89,4;93,6;97,4;99,5;98,2;93,5;89,7;87,6;85,9;83,7;80,6;78,0;74,6;71,4;68,7;67,0;65,7;64,4;62,9;61,9;61,2;60,6;60,5;60,5;60,7;60,8
Cameroon;low;74,7;75,4;77,2;80,6;84,6;89,4;93,6;97,4;99,5;98,2;93,5;89,7;87,6;85,9;80,6;73,2;65,7;61,1;58,0;56,0;54,1;52,5;51,1;50,1;50,1;51,0;52,3;53,3;54,0;54,8;55,9
